4	Vijeo-Designer Language Export
ID	Francais	Русский	Location
2	GroupeAlarmes1	Группа сигналов 1	\Alarms & Events\GroupeAlarmes1\Label
3	Très bas	Слишком низко	\Alarms & Events\GroupeAlarmes1\Alarm Type Message\LoLo
4	Bas	Низко	\Alarms & Events\GroupeAlarmes1\Alarm Type Message\Lo
5	NRML	Норм	\Alarms & Events\GroupeAlarmes1\Alarm Type Message\NRML
6	Haut	Высоко	\Alarms & Events\GroupeAlarmes1\Alarm Type Message\Hi
7	Très haut	Слишком высоко	\Alarms & Events\GroupeAlarmes1\Alarm Type Message\HiHi
8	Min. (%)	Min. (%)	\Alarms & Events\GroupeAlarmes1\Alarm Type Message\MIN%
9	Max. (%)	Max. (%)	\Alarms & Events\GroupeAlarmes1\Alarm Type Message\MAJ%
10	Min. (F)	Min. (F)	\Alarms & Events\GroupeAlarmes1\Alarm Type Message\MIND
11	Max. (F)	Max. (F)	\Alarms & Events\GroupeAlarmes1\Alarm Type Message\MAJD
12	ACTIF	Активно	\Alarms & Events\GroupeAlarmes1\Alarm State Message\Active
13	ACQ Подтверждено	\Alarms & Events\GroupeAlarmes1\Alarm State Message\ACK
14	Retombée	Повторный спуск	\Alarms & Events\GroupeAlarmes1\Alarm State Message\RTN
15	NONACQ	Не потверждено	\Alarms & Events\GroupeAlarmes1\Alarm State Message\UNACK
16	Idle	Ожидание	\Graphical Panels\Popup Windows\Recettes\TextStatus
17	Busy	В работе	\Graphical Panels\Popup Windows\Recettes\TextStatus
18	Error	Ошибка	\Graphical Panels\Popup Windows\Recettes\TextStatus
19	Compare Match	Совпадение	\Graphical Panels\Popup Windows\Recettes\TextStatus
20	Compare Mismatch	Нет совпадения	\Graphical Panels\Popup Windows\Recettes\TextStatus
21	Busy	В работе	\Graphical Panels\Popup Windows\Recettes\TextStatus
22	Busy	В работе	\Graphical Panels\Popup Windows\Recettes\TextStatus
23	Busy	В работе	\Graphical Panels\Popup Windows\Recettes\TextStatus
24	Busy	В работе	\Graphical Panels\Popup Windows\Recettes\TextStatus
25	Sending	Отправка	\Graphical Panels\Popup Windows\Recettes\TextStatus
26	Receiving	Получение	\Graphical Panels\Popup Windows\Recettes\TextStatus
27	Loading	Загрузка	\Graphical Panels\Popup Windows\Recettes\TextStatus
28	Saving	Сохранение	\Graphical Panels\Popup Windows\Recettes\TextStatus
29	Comparing	Сравнение	\Graphical Panels\Popup Windows\Recettes\TextStatus
30	Busy	В работе	\Graphical Panels\Popup Windows\Recettes\TextStatus
31	No Error	Нет ошибок	\Graphical Panels\Popup Windows\Recettes\TextError
32	Communication Error	Ошибка связи	\Graphical Panels\Popup Windows\Recettes\TextError
33	Invalid Recipe Group	Некорректная группа рецептов	\Graphical Panels\Popup Windows\Recettes\TextError
34	Invalid Recipe	Некорректный рецепт	\Graphical Panels\Popup Windows\Recettes\TextError
35	Operation Locked	Операция недоступна	\Graphical Panels\Popup Windows\Recettes\TextError
36	Invalid Operation	Некорректная операция	\Graphical Panels\Popup Windows\Recettes\TextError
37	Busy	В работе	\Graphical Panels\Popup Windows\Recettes\TextError
38	Insufficient Disk Space	Мало места на диске	\Graphical Panels\Popup Windows\Recettes\TextError
39	Invalid File	Некорректный файл	\Graphical Panels\Popup Windows\Recettes\TextError
40	Invalid Access Right	Некорректный уровень доступа	\Graphical Panels\Popup Windows\Recettes\TextError
41	Denied - Maintenance Mode	Запрет - Режим обслуживания	\Graphical Panels\Popup Windows\Recettes\TextError
42	Unknown Error	Неизвестная ошибка	\Graphical Panels\Popup Windows\Recettes\TextError
64	Programme de recette:                   \n                                        \nIdle    : Indique aucune action\n\nSend    : Envoie les valeurs d'ingrédient vers l'équipement\n\nSnapshot: Demande les valeurs de l'équipement et les stockes dans la recette\n\nSave    : Enregistre les valeurs de recette\n\nDelete  : Suprime la recette actuelle\n\nCompare : Compare les valeurs actuelles de la recette avec celle de l'équipement                              	Programme de recette:                   \n                                        \nIdle    : Indique aucune action\n\nSend    : Envoie les valeurs d'ingrédient vers l'équipement\n\nSnapshot: Demande les valeurs de l'équipement et les stockes dans la recette\n\nSave    : Enregistre les valeurs de recette\n\nDelete  : Suprime la recette actuelle\n\nCompare : Compare les valeurs actuelles de la recette avec celle de l'équipement                              	\Graphical Panels\Popup Windows\HelpRecette\Texte01
65	COGEBI Services bv	COGEBI Services bv	\Graphical Panels\Base Panels\Ecran1\Texte17
66	mm/dd/yyyy	мм/дд/гггг	\Graphical Panels\Base Panels\Ecran1\Text13
68	24:00:00	24:00:00	\Graphical Panels\Base Panels\Ecran1\Text13
72	Alarm Banner	Баннер сообщений	\Graphical Panels\Base Panels\Ecran1\Text01
83	GESTION REGULATION P18-2  Pression / Température	Управление ругулированием P18-2  Давление / Температура	\Graphical Panels\Base Panels\Ecran1\Texte01
85	Alarmes	Сообщения	\Graphical Panels\Base Panels\Ecran1\Commutateur01
86	Pressure	Давление	\Graphical Panels\Base Panels\Ecran1\Commutateur08
87	Temperatur	Температура	\Graphical Panels\Base Panels\Ecran1\Commutateur07
88	Presse	Пресс	\Graphical Panels\Base Panels\Ecran1\Commutateur07
90	Maxxtec	Maxxtec	\Graphical Panels\Base Panels\Ecran1\Commutateur07
91	Trend	Тренд	\Graphical Panels\Base Panels\Ecran1\Commutateur06
92	E-Stops	Аварийные остановки	\Graphical Panels\Base Panels\Ecran1\Commutateur07
93	Configuration	Конфигурация	\Graphical Panels\Base Panels\Ecran1\Commutateur04
96	FR >>	FR >>	\Graphical Panels\Base Panels\Ecran1\Text05
97	<< RU	<< RU	\Graphical Panels\Base Panels\Ecran1\Text05
98	Pressure_Group	Группа давления	\Recipes\Pressure_Group\Label
101	Temperature_Group	Группа температуры	\Recipes\Temperature_Group\Label
102	SP_Temperature_1	Уст_Температура_1	\Recipes\Temperature_Group\Ingredient\1
103	Program T1	Программа T1	\Recipes\Temperature_Group\Recipe\1
104	GroupeAlarmesDiag1	Группа диаг. сообщ. 1	\Alarms & Events\GroupeAlarmesDiag1\Label
105	SYS	SYS	\Alarms & Events\GroupeAlarmesDiag1\Alarm Type Message\System
106	DFB	DFB	\Alarms & Events\GroupeAlarmesDiag1\Alarm Type Message\DFB
107	SFC	SFC	\Alarms & Events\GroupeAlarmesDiag1\Alarm Type Message\SFC/Grafcet
108	ACTIF	Активно	\Alarms & Events\GroupeAlarmesDiag1\Alarm State Message\Active
109	ACQ	Подтверждено	\Alarms & Events\GroupeAlarmesDiag1\Alarm State Message\ACK
110	Retombée	Повторный спуск	\Alarms & Events\GroupeAlarmesDiag1\Alarm State Message\RTN
111	NONACQ	Не потверждено	\Alarms & Events\GroupeAlarmesDiag1\Alarm State Message\UNACK
114	mm/dd/yyyy	мм/дд/гггг	\Graphical Panels\Base Panels\Ecran10\Text13
116	24:00:00	24:00:00	\Graphical Panels\Base Panels\Ecran10\Text13
118	<< RU	<< RU	\Graphical Panels\Base Panels\Ecran10\Text05
119	FR >>	FR >>	\Graphical Panels\Base Panels\Ecran10\Text05
120	Alarm Banner	Баннер сообщений	\Graphical Panels\Base Panels\Ecran10\Text01
143	mm/dd/yyyy	мм/дд/гггг	\Graphical Panels\Base Panels\Ecran20\Text13
145	24:00:00	24:00:00	\Graphical Panels\Base Panels\Ecran20\Text13
147	<< RU	<< RU	\Graphical Panels\Base Panels\Ecran20\Text05
148	FR >>	FR >>	\Graphical Panels\Base Panels\Ecran20\Text05
149	Alarm Banner	Баннер сообщений	\Graphical Panels\Base Panels\Ecran20\Text01
161	mm/dd/yyyy	мм/дд/гггг	\Graphical Panels\Base Panels\Ecran30\Text13
163	24:00:00	24:00:00	\Graphical Panels\Base Panels\Ecran30\Text13
165	<< RU	<< RU	\Graphical Panels\Base Panels\Ecran30\Text05
166	FR >>	FR >>	\Graphical Panels\Base Panels\Ecran30\Text05
167	Alarm Banner	Баннер сообщений	\Graphical Panels\Base Panels\Ecran30\Text01
179	mm/dd/yyyy	мм/дд/гггг	\Graphical Panels\Base Panels\Ecran40\Text13
181	24:00:00	24:00:00	\Graphical Panels\Base Panels\Ecran40\Text13
183	<< RU	<< RU	\Graphical Panels\Base Panels\Ecran40\Text05
184	FR >>	FR >>	\Graphical Panels\Base Panels\Ecran40\Text05
185	Alarm Banner	Баннер сообщений	\Graphical Panels\Base Panels\Ecran40\Text01
196	mm/dd/yyyy	мм/дд/гггг	\Graphical Panels\Base Panels\Ecran61\Text13
198	24:00:00	24:00:00	\Graphical Panels\Base Panels\Ecran61\Text13
200	<< NL	<< NL	\Graphical Panels\Base Panels\Ecran61\Text05
201	FR >>	FR >>	\Graphical Panels\Base Panels\Ecran61\Text05
204	C_Pres	Уст_Давл	\Graphical Panels\Base Panels\Ecran61\Texte05
205	M_Pres	Изм_Давл	\Graphical Panels\Base Panels\Ecran61\Texte06
206	C_Temp	Уст_Темп	\Graphical Panels\Base Panels\Ecran61\Texte07
207	T_Huile	Т_Масло	\Graphical Panels\Base Panels\Ecran61\Texte08
208	T_Plat1	Т_Плита1	\Graphical Panels\Base Panels\Ecran61\Texte01
209	T_Plat5	Т_Плита5	\Graphical Panels\Base Panels\Ecran61\Texte02
210	T_Plat15	Т_Плита15	\Graphical Panels\Base Panels\Ecran61\Texte03
211	T_Plat19	Т_Плита19	\Graphical Panels\Base Panels\Ecran61\Texte04
254	mm/dd/yyyy	мм/дд/гггг	\Graphical Panels\Base Panels\Ecran62\Text13
256	24:00:00	24:00:00	\Graphical Panels\Base Panels\Ecran62\Text13
258	<< NL	<< NL	\Graphical Panels\Base Panels\Ecran62\Text05
259	FR >>	FR >>	\Graphical Panels\Base Panels\Ecran62\Text05
314	mm/dd/yyyy	мм/дд/гггг	\Graphical Panels\Base Panels\Ecran70\Text13
316	24:00:00	24:00:00	\Graphical Panels\Base Panels\Ecran70\Text13
318	<< NL	<< NL	\Graphical Panels\Base Panels\Ecran70\Text05
319	FR >>	FR >>	\Graphical Panels\Base Panels\Ecran70\Text05
320	Alarm Banner	Баннер сообщений	\Graphical Panels\Base Panels\Ecran70\Text01
350	mm/dd/yyyy	мм/дд/гггг	\Graphical Panels\Base Panels\Ecran80\Text13
352	24:00:00	24:00:00	\Graphical Panels\Base Panels\Ecran80\Text13
354	<< NL	<< NL	\Graphical Panels\Base Panels\Ecran80\Text05
355	FR >>	FR >>	\Graphical Panels\Base Panels\Ecran80\Text05
360	Menu\nrecettes	Меню\nрецептов	\Graphical Panels\Base Panels\Ecran80\Commutateur02
371	PLC	PLC	\Graphical Panels\Base Panels\Ecran80\Texte09
372	Set	Set	\Graphical Panels\Base Panels\Ecran80\Commutateur06
373	Ok	Ok	\Graphical Panels\Base Panels\Ecran80\Commutateur07
374	Set time to PLC	Установить время на ПЛК	\Graphical Panels\Base Panels\Ecran80\Commutateur08
375	24:00:00	24:00:00	\Graphical Panels\Base Panels\Ecran80\Text13
377	mm/dd/yyyy	мм/дд/гггг	\Graphical Panels\Base Panels\Ecran80\Text02
379	24:00:00	24:00:00	\Graphical Panels\Base Panels\Ecran80\Text13
381	mm/dd/yyyy	мм/дд/гггг	\Graphical Panels\Base Panels\Ecran80\Text02
383	mm/dd/yyyy	мм/дд/гггг	\Graphical Panels\Base Panels\Ecran90\Text13
385	24:00:00	24:00:00	\Graphical Panels\Base Panels\Ecran90\Text13
387	<< NL	<< NL	\Graphical Panels\Base Panels\Ecran90\Text05
388	FR >>	FR >>	\Graphical Panels\Base Panels\Ecran90\Text05
390	Date	Дата	\Graphical Panels\Base Panels\Ecran90\ResumeAlarme01\Columns\Date
391	Message	Сообщение	\Graphical Panels\Base Panels\Ecran90\ResumeAlarme01\Columns\Message
392	Etat	Этап	\Graphical Panels\Base Panels\Ecran90\ResumeAlarme01\Columns\State
393	Heure	Час	\Graphical Panels\Base Panels\Ecran90\ResumeAlarme01\Columns\Time
395	Next	След.	\Graphical Panels\Base Panels\Ecran90\Texte05
406	mm/dd/yyyy	мм/дд/гггг	\Graphical Panels\Base Panels\Ecran91\Text13
